old_url,new_url,post_id,title
/posts/165,/posts/omnistrate-platform-update-september-2025-edition,165,"Omnistrate Platform Update-September 2025 edition"
/posts/164,/posts/why-customers-choose-omnistrate-a-deep-dive-into-the-byoc-landscape,164,"Why Customers Choose Omnistrate: A Deep Dive into the BYOC Landscape"
/posts/163,/posts/deep-dive-into-the-on-prem-distribution-landscape-why-omnistrate-is-the-only-comprehensive-platform,163,"Deep Dive into the On-Prem Distribution Landscape: Why Omnistrate Is the Only Comprehensive Platform"
/posts/160,/posts/omnistrate-platform-update-august-2025-edition,160,"Omnistrate Platform Update - August 2025 edition"
/posts/159,/posts/revolutionize-your-devops-and-sre-with-omnistrate-s-new-mcp-server,159,"Revolutionize Your DevOps and SRE with Omnistrate's new MCP server"
/posts/158,/posts/case-study-how-ferretdb-went-from-opensource-project-to-commercial-dbaas-success-in-weeks-not-years,158,"Case Study: How FerretDB went from OpenSource Project to Commercial DBaaS success in weeks, not years"
/posts/157,/posts/omnistrate-platform-update-july-2025-edition,157,"Omnistrate Platform Update - July 2025 edition"
/posts/156,/posts/omnistrate-brownstone-modernize-your-software-offering-with-built-in-compliance-and-cloud-automation,156,"Omnistrate + Brownstone: Modernize Your Software Offering with Built-In Compliance and Cloud Automation"
/posts/155,/posts/maximizing-ai-infrastructure-value-through-smart-resource-sharing,155,"Maximizing AI Infrastructure Value Through Smart Resource Sharing"
/posts/154,/posts/moving-to-cell-based-architecture-lessons-from-neon,154,"Moving to Cell-Based Architecture: Lessons from Neon"
/posts/153,/posts/omnistrate-platform-update-jun-2025,153,"Omnistrate Platform Update (Jun 2025)"
/posts/152,/posts/build-your-own-software-platform-in-days,152,"Build your own Software Platform in days"
/posts/151,/posts/enter-omnistrate-developer-platform-to-build-your-software-distribution-part-3-of-3,151,"Enter Omnistrate: Developer platform to build your Software Distribution (Part 3 of 3)"
/posts/150,/posts/real-world-example-the-lifecycle-headache-part-2-of-3,150,"Real-World Example: The Lifecycle Headache (Part 2 of 3)"
/posts/149,/posts/building-diy-control-planes-with-kubernetes-argocd-terraform-part-1-of-3,149,"Building DIY Control Planes with Kubernetes, ArgoCD & Terraform (Part 1 of 3)"
/posts/147,/posts/omnistrate-platform-update-may-2025,147,"Omnistrate Platform Update (May 2025)"
/posts/146,/posts/omnistrate-platform-update-april-2025,146,"Omnistrate Platform Update (April 2025)"
/posts/145,/posts/integrating-serverless-framework-with-omnistrate-a-developer-s-journey,145,"Integrating Serverless Framework with Omnistrate: A Developer's Journey"
/posts/144,/posts/beyond-ecs-or-cloud-run-terraform-building-scalable-saas-infrastructure,144,"Beyond ECS or Cloud Run + Terraform: Building Scalable SaaS Infrastructure"
